Rank,Root Domain
1,http://apple.com
2,http://www.google.com
3,http://youtube.com
4,http://docs.google.com
5,http://microsoft.com
6,http://www.blogger.com
7,http://play.google.com
8,http://support.google.com
9,http://wordpress.org
10,http://plus.google.com
11,http://linkedin.com
12,http://adobe.com
13,http://en.wikipedia.org
14,http://maps.google.com
15,http://cloudflare.com
16,http://vimeo.com
17,http://youtu.be
18,http://googleusercontent.com
19,http://drive.google.com
20,http://mozilla.org
21,http://sites.google.com
22,http://europa.eu
23,http://accounts.google.com
24,http://line.me
25,http://creativecommons.org
26,http://es.wikipedia.org
27,http://bbc.co.uk
28,http://www.facebook.com
29,http://github.com
30,http://medium.com
31,http://amazon.com
32,http://vk.com
33,http://istockphoto.com
34,http://bp.blogspot.com
35,http://slideshare.net
36,http://gstatic.com
37,http://google.com.br
38,http://paypal.com
39,http://bbc.com
40,http://photos.google.com
41,http://myspace.com
42,http://news.google.com
43,http://who.int
44,http://ok.ru
45,http://reuters.com
46,http://aliexpress.com
47,http://live.com
48,http://forbes.com
49,http://www.yahoo.com
50,http://uol.com.br
51,https://www.nytimes.com
52,http://fr.wikipedia.org
53,http://pt.wikipedia.org
54,http://hugedomains.com
55,http://whatsapp.com
56,http://cnn.com
57,http://google.co.jp
58,http://google.es
59,http://google.de
60,http://dailymotion.com
61,http://networkadvertising.org
62,http://jimdofree.com
63,http://imdb.com
64,http://policies.google.com
65,http://mail.google.com
66,http://w3.org
67,http://feedburner.com
68,http://nih.gov
69,http://theguardian.com
70,http://google.co.uk
71,http://dropbox.com
72,http://google.fr
73,http://wikimedia.org
74,http://developers.google.com
75,http://msn.com
76,http://globo.com
77,http://mail.ru
78,http://t.me
79,http://privacyshield.gov
80,http://youronlinechoices.com
81,http://twitter.com
82,http://books.google.com
83,http://change.org
84,http://abril.com.br
85,http://mediafire.com
86,http://files.wordpress.com
87,http://code.google.com
88,http://abcnews.go.com
89,http://www.wix.com
90,http://cdc.gov
91,http://time.com
92,http://washingtonpost.com
93,http://samsung.com
94,http://picasaweb.google.com
95,http://aboutads.info
96,http://amazon.co.jp
97,http://cpanel.net
98,http://draft.blogger.com
99,http://www.gov.uk
100,http://lefigaro.fr